uid,video_id,start_seconds,stop_seconds,narration,verb,noun,location
686,P01_05,485.43,486.68,take bread,take,bread,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
687,P01_05,490.03,490.78,put down bread,put-down,bread,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
688,P01_05,492.19,497.69,slice bread,slice,bread,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
689,P01_05,498.23,503.48,continue slicing bread,slice,bread,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
690,P01_05,507.63,508.93,put down knife,put-down,knife,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
691,P01_05,510.46,511.35,take bread bag,take,bag:bread,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
692,P01_05,512.02,514.55,put bread in bag,put,bread,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
693,P01_05,515.89,517.8,fold bag,fold,bag,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
694,P01_05,518.89,519.95,put down bag,put-down,bag,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
695,P01_05,523.08,524.13,put down cutting board,put-down,board:cutting,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
696,P01_05,525.68,528.27,take table cloth,take,cloth:table,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
697,P01_05,529.55,531.92,unfold table cloth,unfold,cloth:table,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
698,P01_05,532.63,533.89,move plate,move,plate,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
699,P01_05,537.34,539.43,dry blades,dry,blade,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
700,P01_05,538.5,541,put blade down,put,blade,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
701,P01_05,543.06,544.81,open drawer,open,drawer,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
702,P01_05,544.56,546.07,take fork,take,fork,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
703,P01_05,546.05,546.89,close drawer,close,drawer,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
704,P01_05,547.36,549.32,put down fork,put-down,fork,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
705,P01_05,562.19,563.36,take bottle,take,bottle,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
706,P01_05,564.6,567.04,open bottle,open,bottle,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
707,P01_05,567.51,570.3,turn on tap,turn-on,tap,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
708,P01_05,569,582.3,pour water into bottle,pour,water,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
709,P01_05,581.98,582.98,turn off tap,turn-off,tap,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
710,P01_05,584.21,586.5,put bottle down,put,bottle,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
711,P01_05,629.77,634.48,take fruit box,take,box:fruit,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
712,P01_05,636.51,644.31,open fruit box,open,box:fruit,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
713,P01_05,645.96,647.96,take mesh,take,mesh,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
714,P01_05,649.63,650.68,open bin,open,bin,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
715,P01_05,649.99,650.68,throw mesh into bin,throw,mesh,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
716,P01_05,650.52,651.77,close bin,close,bin,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
717,P01_05,653.45,654.46,take fruit box,take,box:fruit,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
718,P01_05,655.96,670.07,wash fruit,wash,fruit,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
719,P01_05,658.73,682.65,continue washing fruit,wash,fruit,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
720,P01_05,678.77,679.69,turn off tap,turn-off,tap,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
721,P01_05,687.07,688.47,put fruit onto table,put,fruit,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
722,P01_05,689.42,691.06,dry hands,dry,hand,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
723,P01_05,691.76,692.4,adjust hob,adjust,hob,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
724,P01_05,695.04,696.72,take sausages,take,sausage,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
725,P01_05,696.99,705.59,put sausages onto pan,put,sausage,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
726,P01_05,705.86,706.95,adjust hob,adjust,hob,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
727,P01_05,708.14,713.1,put sausages onto pan,put,sausage,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
728,P01_05,716.84,719.09,throw box into lid into bin,throw,box,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
729,P01_05,725.99,735.61,dry hands,dry,hand,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
730,P01_05,737.45,738.26,hang clothes,hang,clothes,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
731,P01_05,739.79,744.42,take clothes,take,clothes,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
732,P01_05,749.04,750.85,hang clothes,hang,clothes,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
733,P01_05,780.42,781.28,open drawer,open,drawer,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
734,P01_05,781.67,784.12,take tongs,take,tongs,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
735,P01_05,788.1,789.23,put down tongs,put-down,tongs,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
736,P01_05,789.44,790.21,take spoon,take,spoon,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
737,P01_05,791.31,798.98,stir,stir,spoon,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
738,P01_05,799.81,800.55,put down spoon,put-down,spoon,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
739,P01_05,806.93,808.8,adjust hop,adjust,hop,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
740,P01_05,884.59,888.08,move saucepan,move,saucepan,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
741,P01_05,910.05,911.73,adjust hob,adjust,hob,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
742,P01_05,945.73,948.42,open drawer,open,drawer,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
743,P01_05,948.74,952.33,open drawer,open,drawer,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
744,P01_05,951.04,952.27,close drawer,close,drawer,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
745,P01_05,952.37,955.32,take lighter,take,lighter,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
746,P01_05,956.92,958.58,take candle,take,candle,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
747,P01_05,957.86,967.22,turn on candle,turn-on,candle,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
748,P01_05,968.23,970.61,put down candle,put-down,candle,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
749,P01_05,971.8,974.06,open drawer,open,drawer,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
750,P01_05,972.73,973.35,close drawer,close,drawer,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
751,P01_05,973.2,974.2,open drawer,open,drawer,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
752,P01_05,976.8,977.3,take tong,take,tong,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
753,P01_05,978.15,980.61,flip sausage,flip,sausage,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
754,P01_05,982.43,983.35,flip sausage,flip,sausage,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
755,P01_05,985.84,989.55,flip sausage,flip,sausage,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
756,P01_05,990.27,992.8,flip sausage,flip,sausage,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
757,P01_05,994.26,996.68,flip sausage,flip,sausage,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
758,P01_05,997,1000.6,flip sausage,flip,sausage,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
759,P01_05,1000.7,1003.18,flip sausage,flip,sausage,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
760,P01_05,1030.75,1033.47,flip sausage,flip,sausage,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
761,P01_05,1034.3,1035.95,flip sausage,flip,sausage,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
762,P01_05,1039.52,1040.95,flip sausage,flip,sausage,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
763,P01_05,1050.09,1051.8,flip sausage,flip,sausage,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
764,P01_05,1058.38,1081.33,heat sausage,heat,sausage,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
765,P01_05,1081.43,1082.48,put down tong,put-down,tong,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
766,P01_05,1082.58,1083.37,take knife,take,knife,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
767,P01_05,1084.2,1086.86,check potato,check,potato,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
768,P01_05,1087.99,1089.02,put down knife,put-down,knife,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
769,P01_05,1089.17,1091.48,adjust hob,adjust,hob,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
770,P01_05,1092.72,1094.42,take tong,take,tong,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
771,P01_05,1094.47,1095.48,adjust hob,adjust,hob,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
772,P01_05,1099.78,1106.74,turn sausage,turn,sausage,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
773,P01_05,1106.84,1110.76,turn sausage,turn,sausage,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
774,P01_05,1112.59,1126.99,turn sausage,turn,sausage,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
775,P01_05,1127,1130.27,turn sausage,turn,sausage,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
776,P01_05,1130.37,1133.34,turn sausage,turn,sausage,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
777,P01_05,1133.44,1139.76,turn sausage,turn,sausage,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
778,P01_05,1140.57,1141.93,put down tong,put-down,tong,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
779,P01_05,1148.95,1150.05,adjust hob,adjust,hob,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
780,P01_05,1165.84,1167.73,turn off hob,turn-off,hob,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
781,P01_05,1167.5,1168.73,take saucepan,take,saucepan,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
782,P01_05,1170.01,1171.86,take colander,take,colander,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
783,P01_05,1172.03,1175.27,drain potato,drain,potato,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
784,P01_05,1176.22,1177.72,put down saucepan,put-down,saucepan,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
785,P01_05,1183.12,1187.78,pour potato onto plate,pour,potato,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
786,P01_05,1188.98,1190.2,put down colander,put-down,colander,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
787,P01_05,1191.06,1192.59,take oil,take,oil,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
788,P01_05,1192.58,1193.59,put down oil,put-down,oil,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
789,P01_05,1194.44,1195.12,take sausages,take,sausage,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
790,P01_05,1195.71,1196.94,take fork,take,fork,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
791,P01_05,1196.86,1198.16,move potatoes,move,potato,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
792,P01_05,1198.26,1211.63,place sausages into pan,place,sausage,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
793,P01_05,1213.29,1219.65,wash pan,wash,pan,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
794,P01_05,1213.32,1214.79,put down frying pan,put-down,pan:frying,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
795,P01_05,1219.65,1226.73,wash pan,wash,pan,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
796,P01_05,1226.14,1227.17,close tap,close,tap,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
797,P01_05,1227.11,1228.06,take olive oil,take,oil:olive,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
798,P01_05,1228.16,1230.91,open oil,open,oil,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
799,P01_05,1230.97,1237.74,pour oil,pour,oil,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
800,P01_05,1237.55,1242.16,close oil,close,oil,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
801,P01_05,1241.53,1244.43,put down oil,put-down,oil,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
802,P01_05,1244.25,1244.99,take rosemary,take,rosemary,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
803,P01_05,1245.15,1247.23,open rosemary,open,rosemary,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
804,P01_05,1248.49,1255.88,sprinkle rosemary,sprinkle,rosemary,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
805,P01_05,1255.94,1258.73,close rosemary,close,rosemary,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
806,P01_05,1258.78,1260,put rosemary down,put,rosemary,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
807,P01_05,1262.52,1263.74,take knife,take,knife,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
808,P01_05,1263.73,1268.99,mix food,mix,food,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_05.MP4
809,P01_06,0.57,1.53,take plate,take,plate,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
810,P01_06,2.21,3.28,put down knife,put-down,knife,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
811,P01_06,5.74,7.1,open bin,open,bin,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
812,P01_06,7.23,11.85,throw leftovers into bin,throw,leftover,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
813,P01_06,12.22,12.95,close bin,close,bin,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
814,P01_06,14.43,16.89,put down plate and fork,put-down,plate,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
815,P01_06,17.67,20.03,take cutting board,take,board:cutting,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
816,P01_06,19.22,27.56,move cutting board,move,board:cutting,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
817,P01_06,21.11,22.47,put down cutting board,put-down,board:cutting,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
818,P01_06,22.01,23.44,put down glass,put-down,glass,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
819,P01_06,28.69,30.69,take fruit,take,fruit,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
820,P01_06,30.4,31.45,put down fruit,put-down,fruit,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
821,P01_06,32.62,36.86,take tablecloth,take,tablecloth,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
822,P01_06,37.33,40.09,shake tablecloth,shake,tablecloth,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
823,P01_06,41.88,49.7,fold tablecloth,fold,tablecloth,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
824,P01_06,50.24,52.03,put tablecloth,put,tablecloth,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
825,P01_06,55.41,56.22,take sponge,take,sponge,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
826,P01_06,57.12,59.27,pour washing up liquid,pour-up,liquid,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
827,P01_06,59.45,61.09,put down washing up liquid,put-down,liquid,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
828,P01_06,60.9,62.09,take fork,take,fork,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
829,P01_06,62,64.5,open tap,open,tap,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
830,P01_06,64.46,69.25,wash fork,wash,fork,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
831,P01_06,69.1,70.12,put down fork,put-down,fork,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
832,P01_06,70.18,70.72,take spoon,take,spoon,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
833,P01_06,70.82,73.12,wash spoon,wash,spoon,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
834,P01_06,73.18,73.84,put down spoon,put-down,spoon,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
835,P01_06,73.82,75.07,take knife,take,knife,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
836,P01_06,75.11,80.95,wash knife,wash,knife,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
837,P01_06,81.01,82.27,put down knife,put-down,knife,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
838,P01_06,81.96000000000001,82.78,take cutting board,take,board:cutting,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
839,P01_06,83.34,90.9,wash cutting board,wash,board:cutting,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
840,P01_06,91.75,94.15,put down cutting board,put-down,board:cutting,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
841,P01_06,94.27000000000001,94.99000000000001,take tong,take,tong,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
842,P01_06,94.9,107.44,wash tong,wash,tong,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
843,P01_06,107.50999999999999,108.43,put down tong,put-down,tong,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
844,P01_06,108.53,109.72999999999999,take knife,take,knife,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
845,P01_06,110.33,116.68,wash knife,wash,knife,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
846,P01_06,116.17,117.25999999999999,put down knife,put-down,knife,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
847,P01_06,118.06,118.84,take glass,take,glass,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
848,P01_06,118.9,121.98,wash glass,wash,glass,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
849,P01_06,122.19,123.29,put down glass,put-down,glass,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
850,P01_06,123.33,124.65,take plate,take,plate,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
851,P01_06,123.72,124.83,take plate,take,plate,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
852,P01_06,124.49,125.39,turn on tap,turn-on,tap,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
853,P01_06,125.08,127.32,rinse plate,rinse,plate,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
854,P01_06,127.45,138.05,wash plate,wash,plate,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
855,P01_06,138.5,140.9,continue washing plate,wash,plate,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
856,P01_06,141,142.5,hold the plate,hold,plate,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
857,P01_06,143.25,145.85,take pan,take,pan,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
858,P01_06,144.77,147.5,wash pan,wash,pan,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
859,P01_06,147.34,148.85,put down pan,put-down,pan,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
860,P01_06,148.63,154.04,wash pan,wash,pan,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
861,P01_06,153.57,159.67000000000002,continue washing pan,wash,pan,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
862,P01_06,159.7,160.44,put down pan,put-down,pan,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
863,P01_06,160.29,161.61,take colander,take,colander,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
864,P01_06,161.69,170.88,wash colander,wash,colander,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
865,P01_06,170.98,172.27,put down colander,put-down,colander,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
866,P01_06,171.82999999999998,175.01,take saucepan,take,saucepan,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
867,P01_06,174.76,193.15,wash saucepan,wash,saucepan,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
868,P01_06,175.1,176.51,empty saucepan,empty,saucepan,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
869,P01_06,193.23,194.26,put down saucepan,put-down,saucepan,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
870,P01_06,194.97,196.17000000000002,take colander and pan,take,colander,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
871,P01_06,197.34,206.72,wash cutting board,wash,board:cutting,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
872,P01_06,206.82,207.32999999999998,put down sponge,put-down,sponge,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
873,P01_06,210.01,212.31,turn on tap,turn-on,tap,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
874,P01_06,213.52,214.6,turn on tap,turn-on,tap,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
875,P01_06,214.4,227,rinse cutting board,rinse,board:cutting,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
876,P01_06,226.96,240.53,rinse cutting board,rinse,board:cutting,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
877,P01_06,242.41,243.6,put cutting board onto rack,put,board:cutting,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
878,P01_06,244.46,248.17,take glass,take,glass,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
879,P01_06,247.47,252.75,rinse glass,rinse,glass,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
880,P01_06,252.59,254.1,put glass onto rack,put,glass,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
881,P01_06,254.2,268.66,rinse pan,rinse,pan,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
882,P01_06,268.76,270.01,put pan onto rack,put,pan,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
883,P01_06,270.11,285.51,rinse colander,rinse,colander,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
884,P01_06,285.58,287.29,put colander onto rack,put,colander,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
885,P01_06,287.11,288.36,empty saucepan,empty,saucepan,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
886,P01_06,288.46,297.54,rinse saucepan,rinse,saucepan,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
887,P01_06,296.67,300.46,put saucepan onto rack,put,saucepan,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
888,P01_06,299.90999999999997,308.63,rinse plate,rinse,plate,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
889,P01_06,308.56,311.57,put plate onto rack,put,plate,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
890,P01_06,311.67,319.9,rinse cutting board,rinse,board:cutting,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
891,P01_06,319.84,321.7,put cutting board onto rack,put,board:cutting,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
892,P01_06,321.8,326.93,rinse knife,rinse,knife,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
893,P01_06,327.03,328.4,put knife onto rack,put,knife,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
894,P01_06,328.08,333.71,rinse tong,rinse,tong,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
895,P01_06,333.77,335.13,put tong onto rack,put,rack,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
896,P01_06,334.88,338.90999999999997,rinse knife,rinse,knife,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
897,P01_06,338.64,339.99,put knife onto rack,put,knife,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
898,P01_06,339.69,341.18,rinse fork,rinse,fork,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
899,P01_06,341.4,342.22,put fork,put,fork,C:\Users\galbo\EPIC-KITCHENS\P01\videos\P01_06.MP4
